ID,Name,Category,Price,Brand,Added
P1,"Winsor & Newton Cotman Water Colour Paint Deluxe Sketchers' Pocket Box, Multi-color, Half Pans, Set of 16 (390060)",Watercolor,$38.90 ,Winsor & Newton,F
P2,"Ohuhu Watercolor Paint Set By 24 Premium Quality Art Watercolors Painting Kit (12 Ml, 0.42 Oz.) With 6 Painting Brushes For Artists, Students Beginners - For Landscape Painting Back To School Gifts",Watercolor,$30.00 ,Ohuhu,F
P3,Faber Castell 48 Colors Solid Water Color Paint Set With Paint Brush Portable Watercolor Pigment For Painting Art Supplies,Watercolor,$40.07 ,Faber-Castell,F
P4,Mont Marte Acrylic Paint Set 18pc x 36ml,Acrylic,$24.90 ,Mont Marte,F
P5,"Studio Series Acrylic Paint Set, 24 Colors Misc. Supplies",Acrylic,$24.81 ,Studio Series,F
P6,"Acrylic Paint Set of 24 Colors 2fl oz 60ml Bottles,Non Toxic 24 Colors Acrylic Paint No Fading Rich Pigment for Kids Adults Artists Canvas Crafts Wood Painting",Acrylic,$50.42 ,HissiCo,F
P7,"Prismacolor Premier Colored Pencils | Art Supplies for Drawing, Sketching, Adult Coloring | Soft Core Color Pencils, 36 Pack",Colored pencils,$47.03 ,PRISMACOLOR,F
P8,Faber-Castell Classic 24 Long Colour Pencils PL115854,Colored pencils,$10.30 ,Faber-Castell,F
P9,"Derwent Academy Artist Colour and Watercolour Pencils Wooden Box, 48 Pencils",Colored pencils,$49.20 ,Derwent,F
P10,"Ohuhu Alcohol Markers Brush Tip - Double Tipped Art Marker Set for Kids Artist Adults Coloring Sketching Illustration - 72 Colors w/ 1 Colorless Alcohol-based Blender - Chisel & Brush Tips - Honolulu
",Markers,$46.89 ,Ohuhu,F
P11,"uni-posca Paint Marker Pen - Fine Point - Set of 8 (PC-3M8C), Multicolor",Markers,$12.99 ,Posca,F
P12,"Crayola Fine Line Markers, 40 Count, Assorted Colors, Adult Coloring
",Markers,$23.42 ,Crayola,F
P13,"Faber-Castell Creative Studio Soft Pastels Mini Set of 72
",Soft pastels,$55.20 ,Faber-Castell,F
P14,Mungyo Soft Pastel - 48 colours,Soft pastels,$18 ,Mungyo,F
P15,"Artecho 48 Premium Soft Pastels, 46 Colors Including 4 Fluorescent Colors, Extra Free Black & White, Square Chalk for Drawing, Blending, Layering, Shading, Pastels Art Supplies for Kids, Beginners",Soft pastels,$35.49 ,Artecho,F
P16,"Crayola 64ct Ultra Clean Washable Crayons, 2 Pack Bulk Crayon Set, Gift for Kids",Crayons,$17.90 ,Crayola,F
P17,"STAEDTLER Noris Club Jumbo Crayon 229 NC12, 12 Colours",Crayons,$3.00 ,Staedtler,F
P18,"Faber-Castell PL122540 12-Pieces Jumbo Grip Crayon
",Crayons,$8.94 ,Faber-Castell,F
